value,region,sub_region,asset_id
Master Control Zone,Master Control Zone,Herta Space Station,loc_herta_space_station
Master Control Zone,Master Control Zone,Herta Space Station,loc_herta_space_station
Central Passage,Master Control Zone,Herta Space Station,loc_herta_space_station
Herta's Office,Master Control Zone,Herta Space Station,loc_herta_space_station
Watcher Zone,Master Control Zone,Herta Space Station,loc_herta_space_station
Base Zone,Base Zone,Herta Space Station,loc_herta_space_station
Base Zone,Base Zone,Herta Space Station,loc_herta_space_station
Monitoring Room,Base Zone,Herta Space Station,loc_herta_space_station
Reception Center,Base Zone,Herta Space Station,loc_herta_space_station
Storage Zone,Storage Zone,Herta Space Station,loc_herta_space_station
Storage Zone,Storage Zone,Herta Space Station,loc_herta_space_station
Courtyard (First Floor),Storage Zone,Herta Space Station,loc_herta_space_station
Gallery of Shadow (First Floor),Storage Zone,Herta Space Station,loc_herta_space_station
Outside the Control Center (First Floor),Storage Zone,Herta Space Station,loc_herta_space_station
Special Purpose Lab (Second Floor),Storage Zone,Herta Space Station,loc_herta_space_station
Supply Zone,Supply Zone,Herta Space Station,loc_herta_space_station
Supply Zone,Supply Zone,Herta Space Station,loc_herta_space_station
Electrical Room,Supply Zone,Herta Space Station,loc_herta_space_station
Railway Platform,Supply Zone,Herta Space Station,loc_herta_space_station
Spare Parts Warehouse,Supply Zone,Herta Space Station,loc_herta_space_station
Seclusion Zone,Seclusion Zone,Herta Space Station,loc_herta_space_station
Seclusion Zone,Seclusion Zone,Herta Space Station,loc_herta_space_station
Breeding Ground,Seclusion Zone,Herta Space Station,loc_herta_space_station
Distribution Center,Seclusion Zone,Herta Space Station,loc_herta_space_station
Incubator,Seclusion Zone,Herta Space Station,loc_herta_space_station
Lifeform Oven,Seclusion Zone,Herta Space Station,loc_herta_space_station
Pharmaceutical Room,Seclusion Zone,Herta Space Station,loc_herta_space_station
Overworld,Overworld,Jarilo-VI,loc_jarilovi
Overworld,Overworld,Jarilo-VI,loc_jarilovi
Administrative District,Overworld,Jarilo-VI,loc_jarilovi
Central Plaza,Overworld,Jarilo-VI,loc_jarilovi
Eversummer Florist,Overworld,Jarilo-VI,loc_jarilovi
History and Culture Museum,Overworld,Jarilo-VI,loc_jarilovi
Neverwinter Workshop,Overworld,Jarilo-VI,loc_jarilovi
Qlipoth Fort,Overworld,Jarilo-VI,loc_jarilovi
Goethe Hotel,Overworld,Jarilo-VI,loc_jarilovi
Hotel Lobby,Overworld,Jarilo-VI,loc_jarilovi
Hotel Corridor,Overworld,Jarilo-VI,loc_jarilovi
Hotel Room,Overworld,Jarilo-VI,loc_jarilovi
Golden Theater,Overworld,Jarilo-VI,loc_jarilovi
Outlying Snow Plains,Overworld,Jarilo-VI,loc_jarilovi
Landing Point,Overworld,Jarilo-VI,loc_jarilovi
Long Slope,Overworld,Jarilo-VI,loc_jarilovi
Backwater Pass,Overworld,Jarilo-VI,loc_jarilovi
Goethe Mansion,Overworld,Jarilo-VI,loc_jarilovi
Leisure Plaza,Overworld,Jarilo-VI,loc_jarilovi
Transport Hub,Overworld,Jarilo-VI,loc_jarilovi
Silvermane Guard Restricted Zone,Overworld,Jarilo-VI,loc_jarilovi
Energy Hub,Overworld,Jarilo-VI,loc_jarilovi
Frontline,Overworld,Jarilo-VI,loc_jarilovi
Outpost,Overworld,Jarilo-VI,loc_jarilovi
Corridor of Fading Echoes,Overworld,Jarilo-VI,loc_jarilovi
Ancient Battlefield: Frontline,Overworld,Jarilo-VI,loc_jarilovi
Command Center,Overworld,Jarilo-VI,loc_jarilovi
Contaminated Plaza,Overworld,Jarilo-VI,loc_jarilovi
Fortified Zone,Overworld,Jarilo-VI,loc_jarilovi
Everwinter Hill,Overworld,Jarilo-VI,loc_jarilovi
Ancient Battlefield: Snow Plains,Overworld,Jarilo-VI,loc_jarilovi
Deck of Creation,Overworld,Jarilo-VI,loc_jarilovi
Pillars of Creation,Overworld,Jarilo-VI,loc_jarilovi
Pillars of Creation: Construction Site,Overworld,Jarilo-VI,loc_jarilovi
Pillars of Creation: Entrance,Overworld,Jarilo-VI,loc_jarilovi
Administrative District,Administrative District,Jarilo-VI,loc_jarilovi
Administrative District,Administrative District,Jarilo-VI,loc_jarilovi
Central Plaza,Administrative District,Jarilo-VI,loc_jarilovi
Eversummer Florist,Administrative District,Jarilo-VI,loc_jarilovi
History and Culture Museum,Administrative District,Jarilo-VI,loc_jarilovi
Neverwinter Workshop,Administrative District,Jarilo-VI,loc_jarilovi
Qlipoth Fort,Administrative District,Jarilo-VI,loc_jarilovi
Goethe Hotel,Administrative District,Jarilo-VI,loc_jarilovi
Hotel Lobby,Administrative District,Jarilo-VI,loc_jarilovi
Hotel Corridor,Administrative District,Jarilo-VI,loc_jarilovi
Hotel Room,Administrative District,Jarilo-VI,loc_jarilovi
Golden Theater,Administrative District,Jarilo-VI,loc_jarilovi
Outlying Snow Plains,Outlying Snow Plains,Jarilo-VI,loc_jarilovi
Outlying Snow Plains,Outlying Snow Plains,Jarilo-VI,loc_jarilovi
Landing Point,Outlying Snow Plains,Jarilo-VI,loc_jarilovi
Long Slope,Outlying Snow Plains,Jarilo-VI,loc_jarilovi
Backwater Pass,Backwater Pass,Jarilo-VI,loc_jarilovi
Backwater Pass,Backwater Pass,Jarilo-VI,loc_jarilovi
Goethe Mansion,Backwater Pass,Jarilo-VI,loc_jarilovi
Leisure Plaza,Backwater Pass,Jarilo-VI,loc_jarilovi
Transport Hub,Backwater Pass,Jarilo-VI,loc_jarilovi
Silvermane Guard Restricted Zone,Silvermane Guard Restricted Zone,Jarilo-VI,loc_jarilovi
Silvermane Guard Restricted Zone,Silvermane Guard Restricted Zone,Jarilo-VI,loc_jarilovi
Energy Hub,Silvermane Guard Restricted Zone,Jarilo-VI,loc_jarilovi
Frontline,Silvermane Guard Restricted Zone,Jarilo-VI,loc_jarilovi
Outpost,Silvermane Guard Restricted Zone,Jarilo-VI,loc_jarilovi
Corridor of Fading Echoes,Corridor of Fading Echoes,Jarilo-VI,loc_jarilovi
Corridor of Fading Echoes,Corridor of Fading Echoes,Jarilo-VI,loc_jarilovi
Ancient Battlefield: Frontline,Corridor of Fading Echoes,Jarilo-VI,loc_jarilovi
Command Center,Corridor of Fading Echoes,Jarilo-VI,loc_jarilovi
Contaminated Plaza,Corridor of Fading Echoes,Jarilo-VI,loc_jarilovi
Fortified Zone,Corridor of Fading Echoes,Jarilo-VI,loc_jarilovi
Everwinter Hill,Everwinter Hill,Jarilo-VI,loc_jarilovi
Everwinter Hill,Everwinter Hill,Jarilo-VI,loc_jarilovi
Ancient Battlefield: Snow Plains,Everwinter Hill,Jarilo-VI,loc_jarilovi
Deck of Creation,Everwinter Hill,Jarilo-VI,loc_jarilovi
Pillars of Creation,Pillars of Creation,Jarilo-VI,loc_jarilovi
Pillars of Creation,Pillars of Creation,Jarilo-VI,loc_jarilovi
Pillars of Creation: Construction Site,Pillars of Creation,Jarilo-VI,loc_jarilovi
Pillars of Creation: Entrance,Pillars of Creation,Jarilo-VI,loc_jarilovi
Underworld,Underworld,Jarilo-VI,loc_jarilovi
Underworld,Underworld,Jarilo-VI,loc_jarilovi
Old Weapon Testing Ground,Underworld,Jarilo-VI,loc_jarilovi
Aetherium Wars Terminal,Underworld,Jarilo-VI,loc_jarilovi
Victory Celebration Center,Underworld,Jarilo-VI,loc_jarilovi
Boulder Town,Underworld,Jarilo-VI,loc_jarilovi
Fight Club,Underworld,Jarilo-VI,loc_jarilovi
Fight Club,Underworld,Jarilo-VI,loc_jarilovi
Goethe Grand Hotel,Underworld,Jarilo-VI,loc_jarilovi
Cheap Room,Underworld,Jarilo-VI,loc_jarilovi
Natasha's Clinic,Underworld,Jarilo-VI,loc_jarilovi
Natasha's Clinic,Underworld,Jarilo-VI,loc_jarilovi
Great Mine,Underworld,Jarilo-VI,loc_jarilovi
Entrance,Underworld,Jarilo-VI,loc_jarilovi
Main Mine Shaft,Underworld,Jarilo-VI,loc_jarilovi
Overlook,Underworld,Jarilo-VI,loc_jarilovi
Vagrant Shelter,Underworld,Jarilo-VI,loc_jarilovi
Rivet Town,Underworld,Jarilo-VI,loc_jarilovi
Abandoned Market,Underworld,Jarilo-VI,loc_jarilovi
Entrance,Underworld,Jarilo-VI,loc_jarilovi
Orphanage,Underworld,Jarilo-VI,loc_jarilovi
Robot Settlement,Underworld,Jarilo-VI,loc_jarilovi
Energy Conversion Station,Underworld,Jarilo-VI,loc_jarilovi
Svarog's Base,Underworld,Jarilo-VI,loc_jarilovi
Vagrant Camp,Underworld,Jarilo-VI,loc_jarilovi
Old Weapon Testing Ground,Old Weapon Testing Ground,Jarilo-VI,loc_jarilovi
Old Weapon Testing Ground,Old Weapon Testing Ground,Jarilo-VI,loc_jarilovi
Aetherium Wars Terminal,Old Weapon Testing Ground,Jarilo-VI,loc_jarilovi
Victory Celebration Center,Old Weapon Testing Ground,Jarilo-VI,loc_jarilovi
Boulder Town,Boulder Town,Jarilo-VI,loc_jarilovi
Boulder Town,Boulder Town,Jarilo-VI,loc_jarilovi
Fight Club,Boulder Town,Jarilo-VI,loc_jarilovi
Fight Club,Boulder Town,Jarilo-VI,loc_jarilovi
Goethe Grand Hotel,Boulder Town,Jarilo-VI,loc_jarilovi
Cheap Room,Boulder Town,Jarilo-VI,loc_jarilovi
Natasha's Clinic,Boulder Town,Jarilo-VI,loc_jarilovi
Natasha's Clinic,Boulder Town,Jarilo-VI,loc_jarilovi
Great Mine,Great Mine,Jarilo-VI,loc_jarilovi
Great Mine,Great Mine,Jarilo-VI,loc_jarilovi
Entrance,Great Mine,Jarilo-VI,loc_jarilovi
Main Mine Shaft,Great Mine,Jarilo-VI,loc_jarilovi
Overlook,Great Mine,Jarilo-VI,loc_jarilovi
Vagrant Shelter,Great Mine,Jarilo-VI,loc_jarilovi
Rivet Town,Rivet Town,Jarilo-VI,loc_jarilovi
Rivet Town,Rivet Town,Jarilo-VI,loc_jarilovi
Abandoned Market,Rivet Town,Jarilo-VI,loc_jarilovi
Entrance,Rivet Town,Jarilo-VI,loc_jarilovi
Orphanage,Rivet Town,Jarilo-VI,loc_jarilovi
Robot Settlement,Robot Settlement,Jarilo-VI,loc_jarilovi
Robot Settlement,Robot Settlement,Jarilo-VI,loc_jarilovi
Energy Conversion Station,Robot Settlement,Jarilo-VI,loc_jarilovi
Svarog's Base,Robot Settlement,Jarilo-VI,loc_jarilovi
Vagrant Camp,Robot Settlement,Jarilo-VI,loc_jarilovi
Central Starskiff Haven,Central Starskiff Haven,The Xianzhou Luofu,loc_the_xianzhou_luofu
Central Starskiff Haven,Central Starskiff Haven,The Xianzhou Luofu,loc_the_xianzhou_luofu
Earthrise Agora,Central Starskiff Haven,The Xianzhou Luofu,loc_the_xianzhou_luofu
Practice Dummy,Central Starskiff Haven,The Xianzhou Luofu,loc_the_xianzhou_luofu
Starskiff Jetty,Central Starskiff Haven,The Xianzhou Luofu,loc_the_xianzhou_luofu
Starwatcher Avenue,Central Starskiff Haven,The Xianzhou Luofu,loc_the_xianzhou_luofu
Palace of Astrum,Central Starskiff Haven,The Xianzhou Luofu,loc_the_xianzhou_luofu
Palace of Astrum,Central Starskiff Haven,The Xianzhou Luofu,loc_the_xianzhou_luofu
Palace of Astrum,Palace of Astrum,The Xianzhou Luofu,loc_the_xianzhou_luofu
Palace of Astrum,Palace of Astrum,The Xianzhou Luofu,loc_the_xianzhou_luofu
Palace of Astrum,Palace of Astrum,The Xianzhou Luofu,loc_the_xianzhou_luofu
Cloudford,Cloudford,The Xianzhou Luofu,loc_the_xianzhou_luofu
Cloudford,Cloudford,The Xianzhou Luofu,loc_the_xianzhou_luofu
Cloudford: Cargo Lane,Cloudford,The Xianzhou Luofu,loc_the_xianzhou_luofu
Cloudford: Skiff Boarding Area,Cloudford,The Xianzhou Luofu,loc_the_xianzhou_luofu
Trove of Verdure,Cloudford,The Xianzhou Luofu,loc_the_xianzhou_luofu
Trove of Verdure: South Wing,Cloudford,The Xianzhou Luofu,loc_the_xianzhou_luofu
Stargazer Navalia,Stargazer Navalia,The Xianzhou Luofu,loc_the_xianzhou_luofu
Stargazer Navalia,Stargazer Navalia,The Xianzhou Luofu,loc_the_xianzhou_luofu
Astral Cottage,Stargazer Navalia,The Xianzhou Luofu,loc_the_xianzhou_luofu
Ship Nursery - The Budding,Stargazer Navalia,The Xianzhou Luofu,loc_the_xianzhou_luofu
Ship Nursery - The Burgeoning,Stargazer Navalia,The Xianzhou Luofu,loc_the_xianzhou_luofu
The Mooring,Stargazer Navalia,The Xianzhou Luofu,loc_the_xianzhou_luofu
Exalting Sanctum,Exalting Sanctum,The Xianzhou Luofu,loc_the_xianzhou_luofu
Exalting Sanctum,Exalting Sanctum,The Xianzhou Luofu,loc_the_xianzhou_luofu
Court of Tranquility,Exalting Sanctum,The Xianzhou Luofu,loc_the_xianzhou_luofu
Synwood Pavilion,Exalting Sanctum,The Xianzhou Luofu,loc_the_xianzhou_luofu
Realm-Keeping Commission Chancery,Exalting Sanctum,The Xianzhou Luofu,loc_the_xianzhou_luofu
Seat of Divine Foresight,Exalting Sanctum,The Xianzhou Luofu,loc_the_xianzhou_luofu
Seat of Divine Foresight,Exalting Sanctum,The Xianzhou Luofu,loc_the_xianzhou_luofu
Seat of Divine Foresight,Seat of Divine Foresight,The Xianzhou Luofu,loc_the_xianzhou_luofu
Seat of Divine Foresight,Seat of Divine Foresight,The Xianzhou Luofu,loc_the_xianzhou_luofu
Seat of Divine Foresight,Seat of Divine Foresight,The Xianzhou Luofu,loc_the_xianzhou_luofu
Aurum Alley,Aurum Alley,The Xianzhou Luofu,loc_the_xianzhou_luofu
Aurum Alley,Aurum Alley,The Xianzhou Luofu,loc_the_xianzhou_luofu
Aurum Alley Night Market,Aurum Alley,The Xianzhou Luofu,loc_the_xianzhou_luofu
Aurum Alley Dock,Aurum Alley,The Xianzhou Luofu,loc_the_xianzhou_luofu
Cosmos Street,Aurum Alley,The Xianzhou Luofu,loc_the_xianzhou_luofu
Divination Commission,Divination Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Divination Commission,Divination Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Conclave Hall,Divination Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Fortuna Augurstead,Divination Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Matrix of Prescience Ultima,Divination Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Spatial Terminal,Divination Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Artisanship Commission,Artisanship Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Artisanship Commission,Artisanship Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Arcane Moorage,Artisanship Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Creation Furnace,Artisanship Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Passage to the Finery Foundry,Artisanship Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Passage to the Sapientia Academe,Artisanship Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Fyxestroll Garden,Fyxestroll Garden,The Xianzhou Luofu,loc_the_xianzhou_luofu
Fyxestroll Garden,Fyxestroll Garden,The Xianzhou Luofu,loc_the_xianzhou_luofu
Locufox Forest Backdoor,Fyxestroll Garden,The Xianzhou Luofu,loc_the_xianzhou_luofu
Meeting Point,Fyxestroll Garden,The Xianzhou Luofu,loc_the_xianzhou_luofu
Pavilion of Cessation Corridor,Fyxestroll Garden,The Xianzhou Luofu,loc_the_xianzhou_luofu
Swallowsong Pavilion Entrance,Fyxestroll Garden,The Xianzhou Luofu,loc_the_xianzhou_luofu
Verdantia Terrace Entrance,Fyxestroll Garden,The Xianzhou Luofu,loc_the_xianzhou_luofu
Alchemy Commission,Alchemy Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Alchemy Commission,Alchemy Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Aureate Elixir Furnace,Alchemy Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Elixir Research Terrace,Alchemy Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Dragonprayer Terrace,Alchemy Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Healer's Market,Alchemy Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Medicine Bureau,Alchemy Commission,The Xianzhou Luofu,loc_the_xianzhou_luofu
Scalegorge Waterscape,Scalegorge Waterscape,The Xianzhou Luofu,loc_the_xianzhou_luofu
Scalegorge Waterscape,Scalegorge Waterscape,The Xianzhou Luofu,loc_the_xianzhou_luofu
Ancient Sea Palace Ruins,Scalegorge Waterscape,The Xianzhou Luofu,loc_the_xianzhou_luofu
Dragonvista Rain Hall,Scalegorge Waterscape,The Xianzhou Luofu,loc_the_xianzhou_luofu
Palace Ruin Depths,Scalegorge Waterscape,The Xianzhou Luofu,loc_the_xianzhou_luofu
The Shackling Prison,The Shackling Prison,The Xianzhou Luofu,loc_the_xianzhou_luofu
The Shackling Prison,The Shackling Prison,The Xianzhou Luofu,loc_the_xianzhou_luofu
Grimfrost Hold (I),The Shackling Prison,The Xianzhou Luofu,loc_the_xianzhou_luofu
Grimfrost Hold (II),The Shackling Prison,The Xianzhou Luofu,loc_the_xianzhou_luofu
Nether Key,The Shackling Prison,The Xianzhou Luofu,loc_the_xianzhou_luofu
Pyroscape Hold,The Shackling Prison,The Xianzhou Luofu,loc_the_xianzhou_luofu
Scriptorium: Plankway Front,The Shackling Prison,The Xianzhou Luofu,loc_the_xianzhou_luofu
Vileguard Maw,The Shackling Prison,The Xianzhou Luofu,loc_the_xianzhou_luofu
Skysplitter,Skysplitter,The Xianzhou Luofu,loc_the_xianzhou_luofu
Skysplitter,Skysplitter,The Xianzhou Luofu,loc_the_xianzhou_luofu
Blue Team Audience Seats,Skysplitter,The Xianzhou Luofu,loc_the_xianzhou_luofu
Deck Wardance Stage,Skysplitter,The Xianzhou Luofu,loc_the_xianzhou_luofu
Logistics Line,Skysplitter,The Xianzhou Luofu,loc_the_xianzhou_luofu
Mooring Zone,Skysplitter,The Xianzhou Luofu,loc_the_xianzhou_luofu
Reception Hall,Skysplitter,The Xianzhou Luofu,loc_the_xianzhou_luofu
Red Team Audience Seats,Skysplitter,The Xianzhou Luofu,loc_the_xianzhou_luofu
Wardance Arena Sub-Floor,Skysplitter,The Xianzhou Luofu,loc_the_xianzhou_luofu
Reality,Reality,Penacony,loc_penacony
Reality,Reality,Penacony,loc_penacony
The Reverie (Reality),Reality,Penacony,loc_penacony
Hotel Lobby,Reality,Penacony,loc_penacony
VIP Lounge,Reality,Penacony,loc_penacony
The Reverie (Reality),The Reverie (Reality),Penacony,loc_penacony
The Reverie (Reality),The Reverie (Reality),Penacony,loc_penacony
Hotel Lobby,The Reverie (Reality),Penacony,loc_penacony
VIP Lounge,The Reverie (Reality),Penacony,loc_penacony
Dreamscape,Dreamscape,Penacony,loc_penacony
Dreamscape,Dreamscape,Penacony,loc_penacony
Golden Hour,Dreamscape,Penacony,loc_penacony
Aideen Park,Dreamscape,Penacony,loc_penacony
Clockie Plaza,Dreamscape,Penacony,loc_penacony
Dreammerse Shopping Street,Dreamscape,Penacony,loc_penacony
Oti Mall,Dreamscape,Penacony,loc_penacony
Sweet Corner,Dreamscape,Penacony,loc_penacony
The Reverie Hotel Entrance,Dreamscape,Penacony,loc_penacony
Dream's Edge,Dreamscape,Penacony,loc_penacony
Dreamweaver Plaza,Dreamscape,Penacony,loc_penacony
Front Observation Deck,Dreamscape,Penacony,loc_penacony
Rooftop Garden,Dreamscape,Penacony,loc_penacony
The Family's Construction Authority,Dreamscape,Penacony,loc_penacony
A Child's Dream,Dreamscape,Penacony,loc_penacony
Clock Factory,Dreamscape,Penacony,loc_penacony
Corridor of Memories,Dreamscape,Penacony,loc_penacony
Eddying Dreamscape,Dreamscape,Penacony,loc_penacony
The Reverie (Dreamscape),Dreamscape,Penacony,loc_penacony
Dreamjolt Hostelry,Dreamscape,Penacony,loc_penacony
Dreamscape Lobby,Dreamscape,Penacony,loc_penacony
Drink Lounge,Dreamscape,Penacony,loc_penacony
Monitoring Room,Dreamscape,Penacony,loc_penacony
Platinum Guest Room,Dreamscape,Penacony,loc_penacony
VIP Lounge Corridor,Dreamscape,Penacony,loc_penacony
Dewlight Pavilion,Dreamscape,Penacony,loc_penacony
Dreammaster Hall,Dreamscape,Penacony,loc_penacony
Reception Counter,Dreamscape,Penacony,loc_penacony
City Sandpit,Dreamscape,Penacony,loc_penacony
City Sandpit,Dreamscape,Penacony,loc_penacony
Clock Studios Theme Park,Dreamscape,Penacony,loc_penacony
Dreamjoy Memoir Filming Site,Dreamscape,Penacony,loc_penacony
Hamster Ball Park,Dreamscape,Penacony,loc_penacony
Hanu Gang Base,Dreamscape,Penacony,loc_penacony
Screening Area Entrance,Dreamscape,Penacony,loc_penacony
Theme Park Entrance,Dreamscape,Penacony,loc_penacony
Dreamflux Reef,Dreamscape,Penacony,loc_penacony
A Child's Moonlight,Dreamscape,Penacony,loc_penacony
Bygoneville,Dreamscape,Penacony,loc_penacony
Narrow Alley,Dreamscape,Penacony,loc_penacony
Slumbertown,Dreamscape,Penacony,loc_penacony
Timesplit Square,Dreamscape,Penacony,loc_penacony
SoulGlad™ Scorchsand Audition Venue,Dreamscape,Penacony,loc_penacony
Audition Plaza,Dreamscape,Penacony,loc_penacony
Path of the Superstar,Dreamscape,Penacony,loc_penacony
Dreamplay Fantasia: Acting Challenge,Dreamscape,Penacony,loc_penacony
Dreamplay Fantasia: Acting Challenge,Dreamscape,Penacony,loc_penacony
Dreamplay Fantasia: Action Challenge,Dreamscape,Penacony,loc_penacony
Dreamplay Fantasia: Action Challenge,Dreamscape,Penacony,loc_penacony
Gunfire Time: Gunfire Trial,Dreamscape,Penacony,loc_penacony
Gunfire Time: Gunfire Trial,Dreamscape,Penacony,loc_penacony
Gunfire Time: Time Trial,Dreamscape,Penacony,loc_penacony
Gunfire Time: Time Trial,Dreamscape,Penacony,loc_penacony
Gunfire Time: Time Trial (Posterior),Dreamscape,Penacony,loc_penacony
Superstar Showdown: Arena I,Dreamscape,Penacony,loc_penacony
Superstar Showdown: Arena I,Dreamscape,Penacony,loc_penacony
Superstar Showdown: Arena II,Dreamscape,Penacony,loc_penacony
Superstar Showdown: Arena II,Dreamscape,Penacony,loc_penacony
Penacony Grand Theater,Dreamscape,Penacony,loc_penacony
Ascension Hallway,Dreamscape,Penacony,loc_penacony
Communing Hall,Dreamscape,Penacony,loc_penacony
Hall of Chords,Dreamscape,Penacony,loc_penacony
Saloon of Gospels,Dreamscape,Penacony,loc_penacony
"Act II, Present",Dreamscape,Penacony,loc_penacony
The Radiant Feldspar,Dreamscape,Penacony,loc_penacony
Aft Pool,Dreamscape,Penacony,loc_penacony
Cockpit,Dreamscape,Penacony,loc_penacony
Divergent Universe: Terminal Interface,Dreamscape,Penacony,loc_penacony
Main Banquet Hall,Dreamscape,Penacony,loc_penacony
Midship Lounge,Dreamscape,Penacony,loc_penacony
Origami Bird Battle Lobby,Dreamscape,Penacony,loc_penacony
Penacony Paperfold University College,Dreamscape,Penacony,loc_penacony
Chromasweven Avenue,Dreamscape,Penacony,loc_penacony
Creator's Market,Dreamscape,Penacony,loc_penacony
Cultural Corridor,Dreamscape,Penacony,loc_penacony
Glaux Sculpture,Dreamscape,Penacony,loc_penacony
